Respondent Name,Record Time,"关于Data Portal，你的总体满意度打分为 
(Regarding Data Portal, what's your overall satisfaction score) ？ ",请描述你给出上述评分的主要原因   (What are the main reasons for the above score)? ,你对功能实现的及时性打分为（How satisfied are you with the feature delivery speed)?,你对功能实现的质量打分为（How satisfied are you with the quality of features delivered)?,你对data portal 的用户支持满意度打分为 （How satisfied are you with user support)?,你在使用中最大痛点是哪些 （What are your biggest pain points)?
Anonymous,2023-03-05 21:31:32 [UTC-08:00],8,搜索速度快，图片加载速度也较快,8,8,8,Other
Anonymous,2023-03-05 21:31:58 [UTC-08:00],7,load data may be slow,8,8,8,太慢（service too slow）
Anonymous,2023-03-05 21:36:35 [UTC-08:00],10,好用，查数据方便,10,9,10,太慢（service too slow）
Anonymous,2023-03-05 21:37:39 [UTC-08:00],8,用户需求更新及时，日常使用比较稳定，但在使用高峰期会存在页面刷新慢，加载图片慢的情况，偶尔会出现小bug，但能及时解决问题。,9,10,10,"不稳定 （service not stable),太慢（service too slow）"
Anonymous,2023-03-05 21:40:12 [UTC-08:00],7,系统整体对使用者不太友好，但开发响应比较及时,5,5,5,"不稳定 （service not stable),不好用 （not easy to use)"
Anonymous,2023-03-05 21:43:11 [UTC-08:00],7,加载慢 卡顿,6,7,6,"不稳定 （service not stable),太慢（service too slow）"
Anonymous,2023-03-05 21:43:33 [UTC-08:00],8,容易切页奔溃,8,8,8,不稳定 （service not stable)
Anonymous,2023-03-05 22:04:32 [UTC-08:00],10,好用,10,10,10,太慢（service too slow）
Anonymous,2023-03-05 22:15:43 [UTC-08:00],8,其他没什么，就是图片加载太慢,10,10,10,太慢（service too slow）
Anonymous,2023-03-05 22:15:58 [UTC-08:00],7,图片加载卡顿,8,8,8,太慢（service too slow）
Anonymous,2023-03-05 22:16:07 [UTC-08:00],9,图片加载会有点卡顿,10,10,10,太慢（service too slow）
Anonymous,2023-03-05 22:16:28 [UTC-08:00],8,有卡顿,10,10,10,太慢（service too slow）
Anonymous,2023-03-05 22:17:40 [UTC-08:00],9,图片加载卡顿,10,10,10,太慢（service too slow）
Anonymous,2023-03-05 23:16:31 [UTC-08:00],5,经常性的卡,7,7,7,不稳定 （service not stable)
Anonymous,2023-03-05 23:16:33 [UTC-08:00],9,好用,5,5,5,太慢（service too slow）
Anonymous,2023-03-05 23:16:35 [UTC-08:00],5,经常性的卡,5,7,7,"不稳定 （service not stable),太慢（service too slow）,bug 多 （features are buggy)"
Anonymous,2023-03-05 23:16:45 [UTC-08:00],7,没有,7,7,7,"不稳定 （service not stable),bug 多 （features are buggy)"
Anonymous,2023-03-05 23:17:20 [UTC-08:00],7,有时候卡,7,7,7,太慢（service too slow）
Anonymous,2023-03-05 23:17:23 [UTC-08:00],5,每页上限少，卡顿,5,5,5,"不稳定 （service not stable),太慢（service too slow）,bug 多 （features are buggy)"
Anonymous,2023-03-05 23:18:00 [UTC-08:00],10,感觉很好,10,10,10,太慢（service too slow）
