From,To,Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
PARTNERSHIPS FOR PARKS,FRIENDS OF 20TH ST PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20296,4878,,,,1,,,
CHRISTOPHER PARK ALLIANCE,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,2827,,,,1,,,
FRIENDS OF DAG HAMMARSKJOLD PLAZA,NYPD,,,,,,,,,NYC,,,,,,,,,,,,,,4664,100748,,,,1,,,
INTERNATIONAL RESCUE COMMITTEE- NEW ROOTS COMMUNITY FARM,NY CARES,,,,,,,,,NYC,,,,,,,,,,,,,,1351,101272,,,,1,,,
URBAN RESOURCES INITIATIVE,FILLMORE STREET,,,,,,,,,region,,,,,,,,,,,,,,20281,61343983,,,,1,,,
SOLAR ONE,BILLION OYSTER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,100250,2063,,,,1,,,
WEST ISLIP BEAUTIFICATION SOCIETY,TOWN OF ISLIP,,,,,,,,,region,,,,,,,,,,,,,,20928,113098266,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF ART PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,100737,4878,,,,1,,,
SWIM STRONG FOUNDATION,PAKISTANI AMERICAN LAW ENFORCEMENT SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,20729,107278,,,,1,,,
BROOK PARK CHICKENS,FRIENDS OF BROOK PARK,,,,,,,,,NYC,,,,,,,,,,,,,,1185,100314,,,,1,,,
URBAN RESOURCES INITIATIVE,IVY NARROW BIRD SANCTUARY,,,,,,,,,region,,,,,,,,,,,,,,20436,61343983,,,,1,,,
CITY GROWERS,NYC DOE,,,,,,,,,NYC,,,,,,,,,,,,,,4645,100450,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,PS BK 329,,,,,,,,,NYC,,,,,,,,,,,,,,8854,100500,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF 49TH ST PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,103922,4878,,,,1,,,
80TH ST BLOCK,NYC DSNY,,,,,,,,,NYC,,,,,,,,,,,,,,7220,100098,,,,1,,,
BX RIVER ALLIANCE,NYBG,,,,,,,,,NYC,,,,,,,,,,,,,,1372,1063,,,,1,,,
BROOKLYN QUEENS LAND TRUST,LAND TRUST ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,8843,1075,,,,1,,,
NYNJ BAYKEEPER,WATERKEEPER ALLIANCE,,,,,,,,,region,,,,,,,,,,,,,,102058,1374,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,PS Q 263,,,,,,,,,NYC,,,,,,,,,,,,,,20767,1457,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,CUNY,,,,,,,,,NYC,,,,,,,,,,,,,,8704,101704,,,,1,,,
POMONOK RESIDENT GREEN COMMITTEE,NYPD,,,,,,,,,NYC,,,,,,,,,,,,,,4664,101363,,,,1,,,
PARTNERSHIPS FOR PARKS,RICHMOND HOOD COMPANY,,,,,,,,,NYC,,,,,,,,,,,,,,101629,4878,,,,1,,,
WATERFRONT ALLIANCE,CARROLL GARDENS ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,100383,2037,,,,1,,,
FARM SCHOOL NYC,TAQWA COMMUNITY FARM,,,,,,,,,NYC,,,,,,,,,,,,,,1516,100668,,,,1,,,
BCEQ,FRIENDS OF ROBERTO CLEMENTE STATE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,3501,1061,,,,1,,,
OXFORD GRANGE #194 PATRONS OF HUSBANDRY,OXFORD CULTURAL ARTS CENTER,,,,,,,,,,,,,,,,,,,,,,,31073,31014,,,,2,,,
FRIENDS OF AMERSFORT PARK,NYC CITY COUNCIL- JUMANNE WILLIAMS,,,,,,,,,NYC,,,,,,,,,,,,,,20626,100735,,,,1,,,
PARTNERSHIPS FOR PARKS,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,EARTH CITIZENS OF BOWNE PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,103584,4878,,,,1,,,
NYC FOOD POLICY CTR - CUNY - HUNTER,HEALTHY FOOD RETAIL ACTION NETWORK,,,,,,,,,NYC,,,,,,,,,,,,,,20395,104413,,,,1,,,
URBAN RESOURCES INITIATIVE,MILL RIVER TRAIL,,,,,,,,,region,,,,,,,,,,,,,,20531,61343983,,,,1,,,
RED SHED COMMUNITY GARDEN,FRIENDS OF LEONARD LIBRARY,,,,,,,,,NYC,,,,,,,,,,,,,,20331,101902,,,,1,,,
PARTNERSHIPS FOR PARKS,RECYCLEDAY MORNING,,,,,,,,,NYC,,,,,,,,,,,,,,101607,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF THE WHITE PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,20346,4878,,,,1,,,
FRIENDS OF DAG HAMMARSKJOLD PLAZA,GREENING GROUPS,,,,,,,,,NYC,,,,,,,,,,,,,,20376,100748,,,,1,,,
MAGNOLIA TREE EARTH CENTER,GREEN HORIZONS,,,,,,,,,NYC,,,,,,,,,,,,,,104169,4234,,,,1,,,
FARM SCHOOL NYC,BLACK URBAN GROWERS,,,,,,,,,NYC,,,,,,,,,,,,,,102704,100668,,,,1,,,
PS 41 GREENWICH VILLAGE SCHOOL,FRIENDS OF THE HIGH LINE,,,,,,,,,NYC,,,,,,,,,,,,,,1208,106164,,,,1,,,
PARTNERSHIPS FOR PARKS,HESTER ST COLLABORATIVE,,,,,,,,,NYC,,,,,,,,,,,,,,100930,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,BK PITBULLS YOUTH FOOTBALL PROGRAM,,,,,,,,,NYC,,,,,,,,,,,,,,2686,4878,,,,1,,,
ALL PEOPLES GARDEN,TRUST FOR PUBLIC LAND,,,,,,,,,NYC,,,,,,,,,,,,,,1541,1021,,,,1,,,
PARTNERSHIPS FOR PARKS,NORTH BK BOAT CLUB,,,,,,,,,NYC,,,,,,,,,,,,,,101315,4878,,,,1,,,
LOS COLIBRIES COMMUNITY GARDEN,IS K 136- CHARLES O DEWEY,,,,,,,,,NYC,,,,,,,,,,,,,,104445,104893,,,,1,,,
JACKSON FOREST COMMUNITY GARDENS,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,101015,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,OCEAN BAY CDC,,,,,,,,,NYC,,,,,,,,,,,,,,20709,1457,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,100500,,,,1,,,
LIONS CLUB- LITTLE NECK DOUGLASTON,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,100563,,,,1,,,
GREATER FLUSHING CHAMBER OF COMMERCE,TA,,,,,,,,,NYC,,,,,,,,,,,,,,1535,104155,,,,1,,,
NEW YORK SOLAR ENERGY SOCIETY,AMERICAN SOLAR ENERGY SOCIETY,,,,,,,,,,,,,,,,,,,,,,,31070,31018,,,,2,,,
NY LEAGUE OF CONSERVATION VOTERS,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,4550,,,,1,,,
596 ACRES,UNIVERSITIES,,,,,,,,,NYC,,,,,,,,,,,,,,GENERAL,100086,,,,1,,,
MASTERS OF SUCCESSION COLLECTIVE,NYC COMMUNITY GARDEN COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,1377,101162,,,,1,,,
OCEANPORT WATER WATCH,NYNJ BAYKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1374,105726,,,,1,,,
