Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
BELIEVE IN ME,,,,,,,,,,,,,,,,,,,,,20076,,,Civic,,,,,1,1
W 400TH ST BLOCK ASSN,,,,,,,,,,,,,,,,,,,,,5817,,,Civic,,,,,1,1
RENAISSANCE HS,,,,,,,,,,,,,,,,,,,,,106585,,,School,,,,,1,1
ORANGE ENVIRONMENT,,,,Orange County New York,Environment,Yes,To protect the environmental integrity + promote community sustainability within Orange county and its region.,,Goshen,,"Orange Environment, Inc.",,NY,P.O. Box 25,,1,501(c)(3) (or has applied),,10924,1-19%,133181290,,,Civic,,ADVOCATE,1,1982,0,0
UN INTERNATIONAL SCHOOL,,,,,,,,,,,,,,,,,,,,,7493,,,Government,,,,,1,1
VILLAGE OF FREEPORT,,,,,,,,,,,,,,,,,,,,,21000,,,Government,,,,,1,1
JJ BRYNE PLAYGROUND,,,,,,,,,,,,,,,,,,,,,3472,,,Civic,,,,,1,1
MONARCH WATCH- MONARCH WAYSTATIONS,,,,"Inwood ,Manhattan :PS 98 Shorackappock front garden , Inwood Hill Park in Nature Center enclosure monarch waystation",Environment,Yes,"To educate, empower and advocate for the development and care of native plant monach/pollinator waystations in northern Manhattan-helping to raise the monarch migrations-anything that helps them, helps all pollinators.",,New York,,Monarch Waystations,,NY,512 212th Street,,4,School-affiliated group,,10034,80-100%,20541,,,Civic,Park,ADVOCATE,1,2016,0,0
BETHANY LIBRARY- CLARK MEMORIAL LIBRARY,,,,,,,,,,,,,,,,,,,,,20084,,,Government,,,,,1,1
MISSION CONTINUES NYC,,,,,,,,,,,,,,,,,,,,,20533,,,Civic,,,,,1,1
WEACT,,,,,Environment,Yes,To build healthy communities by assuring the engagement of people of color and low income in environmental decisionmaking that affects community health and sustainability.,,New York,,WE ACT,212-961-1000,NY,"1854 Amsterdam Avenue, 2nd Fl",,1,501(c)(3) (or has applied),http://weact.org,10031,80-100%,1573,,,Civic,"Atmosphere (e.g. air quality, urban heat island)",ADVOCATE,1,1988,6,6
MAGNOLIA TREE EARTH CENTER,,,,"In partnership, working to promote and maintain the Hattie Carthan Community Garden on Lafayette Avenue between Nostrand and Marcy Avenues. 
With local school, PS 25 on Lafayette Avenue and Throop Avenue, planted two Arbor Day trees and began a partnersh",Education,Yes,"Magnolia Tree's mission from the beginning is best known by the slogan, ""Save a Tree, Save a Neighborhood!"" In focusing on environmental information, education and stewardship primarily in the neighborhood of Bedford-Stuyvesant, the Center has become an",,Brooklyn,jlnwolfinc@aol.com,"Magnolia Tree Earth Center of Bedford-Stuyvesant, Inc.",718-387-2116,NY,677 Lafayette Avenue,,1,501(c)(3) (or has applied),http://magnoliatreeearthcenter.org,11216,80-100%,4234,,,Civic,Other,EDUCATE,1,1972,0,0
MONTEFIORE MEDICAL CENTER,,,,,,,,,,,,,,,,,,,,,4377,,,Business,,,,,2,2
